Animal,group,sex
H82_1,cont,fem
H82_2,cont,fem
H82_3,cont,fem
H82_4,cont,fem
H82_5,cont,fem
H84_1,GI,fem
H84_2,GI,fem
H86_1,GI,fem
H86_2,GI,fem
H86_3,GI,fem
H86_4,GI,fem
H83_1,GI,male
H83_2,GI,male
H83_3,GI,male
H83_4,GI,male
H83_5,GI,male
H85_1,GI,male
H85_2,GI,male
H85_3,GI,male
H88_1,cont,male
H88_2,cont,male
H89_1,cont,male
H89_2,cont,male
H89_3,cont,male
H96.1,GI,male
H96.2,GI,male
H94.3,GI,fem
H94.2,GI,fem
H94.1,GI,fem
H93.4,GI,fem
H93.3,cont,fem
H93.2,GI,fem
H93.1,cont,fem
H92.3,GI,male
H92.1,GI,male
H91.5,GI,male
H91.4,cont,male
H91.3,cont,male
H91.2,cont,male
H91.1,cont,male
H90.2,cont,fem
H90.1,cont,fem
