animal,Date,irt,day_old,day,incl
h165.1,2/18/25,16.86372093,d01,d01,
h165.2,2/18/25,15.77416667,d01,d01,
h165.3,2/18/25,10.7902,d01,d01,
h165.4,2/18/25,11.37366667,d01,d01,
h168.1,6/10/25,4.303157895,d01,d01,
h168.2,6/10/25,5.549166667,d01,d01,
h168.3,6/10/25,7.793658537,d01,d01,
h56.1,10/1/24,4.628823529,d01,d01,
h56.2,10/1/24,4.135,d01,d01,
h57.1,10/1/24,7.357058824,d01,d01,
h57.2,10/1/24,5.025263158,d01,d01,
h61.1,11/26/24,11.81194444,d01,d01,
h61.2,11/26/24,11.93341772,d01,d01,
h61.3,11/26/24,10.0390566,d01,d01,
h61.4,11/26/24,9.693829787,d01,d01,
h165.1,2/19/25,14.16566667,d02,d02,
h165.2,2/19/25,16.57666667,d02,d02,
h165.3,2/19/25,14.85122449,d02,d02,
h165.4,2/19/25,11.9140625,d02,d02,
h168.1,6/11/25,4.271111111,d02,d02,
h168.2,6/11/25,4.828571429,d02,d02,
h168.3,6/11/25,7.352820513,d02,d02,
h56.1,10/2/24,7.877419355,d02,d02,
h56.2,9/10/24,8.207111111,d02,d02,
h57.1,10/2/24,9.552121212,d02,d02,
h57.2,9/1/24,14.98763158,d02,d02,
h61.1,11/27/24,14.25827586,d02,d02,
h61.2,11/27/24,13.08109091,d02,d02,
h61.3,11/27/24,7.852622951,d02,d02,
h61.4,11/27/24,8.37440678,d02,d02,
h165.1,2/20/25,10.9825,d03,d03,
h165.2,2/20/25,11.11368421,d03,d03,
h165.3,2/20/25,12.13,d03,d03,
h165.4,2/20/25,11.05914286,d03,d03,
h168.1,6/12/25,7.276315789,d03,d03,
h168.2,6/12/25,4.954571429,d03,d03,
h168.3,6/12/25,6.186486486,d03,d03,
h56.1,9/1/24,11.26307692,d03,d03,
h56.2,9/11/24,9.098809524,d03,d03,
h57.1,9/10/24,9.6278,d03,d03,
h57.2,9/10/24,6.215625,d03,d03,
h61.1,11/29/24,15.84894737,d03,d03,
h61.2,11/29/24,14.01933333,d03,d03,
h61.3,11/29/24,9.576382979,d03,d03,
h61.4,11/29/24,13.90947368,d03,d03,
h165.1,2/21/25,12.018625,d04,d04,
h165.2,2/21/25,16.34116667,d04,d04,
h165.3,2/21/25,10.30747126,d04,d04,
h165.4,2/21/25,10.19320513,d04,d04,
h168.1,6/13/25,4.791470588,d04,d04,
h168.2,6/13/25,3.495882353,d04,d04,
h168.3,6/13/25,2.642,d04,d04,
h56.1,9/10/24,8.243611111,d04,d04,
h56.2,9/23/24,16.7296,d04,d04,
h57.1,9/11/24,13.92419355,d04,d04,
h57.2,9/11/24,6.956857143,d04,d04,
h61.1,11/30/24,9.964716981,d04,d04,
h61.2,11/30/24,11.70914894,d04,d04,
h61.3,11/30/24,5.448196721,d04,d04,
h61.4,11/30/24,10.39642857,d04,d04,
h165.1,2/22/25,12.91055556,d05,d05,incl
h165.2,2/22/25,16.65,d05,d05,incl
h165.3,2/22/25,12.15541667,d05,d05,incl
h165.4,2/22/25,11.7584,d05,d05,incl
h168.1,6/14/25,3.384,d05,d05,incl
h168.2,6/14/25,4.244,d05,d05,incl
h168.3,6/14/25,3.139142857,d05,d05,incl
h56.1,9/11/24,16.12757576,d05,d05,incl
h56.2,9/24/24,8.90225,d05,d05,incl
h57.1,9/23/24,20.85833333,d05,d05,incl
h57.2,9/2/24,24.14,d05,d05,incl
h61.1,12/15/24,21.01529412,d05,d05,incl
h61.2,12/15/24,18.6815,d05,d05,incl
h61.3,12/15/24,10.99705882,d05,d05,incl
h61.4,12/15/24,18.57727273,d05,d05,incl
h165.1,2/23/25,9.294067797,d06,d06,incl
h165.2,2/23/25,13.47093023,d06,d06,incl
h165.3,2/23/25,8.650967742,d06,d06,incl
h165.4,2/23/25,9.766557377,d06,d06,incl
