animal,Date,state,pressing_rate,day,excl
h168.3,6/5/25,pressing_active,8.186524339,d01,
h168.2,6/5/25,pressing_active,6.571966456,d01,
h168.2,6/5/25,pressing_passive,6.216633886,d01,
h61.3,11/26/24,pressing_active,6.205797669,d01,
h61.4,11/26/24,pressing_passive,6.005882049,d01,
h168.1,6/5/25,pressing_active,5.903381326,d01,
h168.3,6/5/25,pressing_passive,4.944845949,d01,
h61.4,11/26/24,pressing_active,4.571646269,d01,
h56.2,9/3/24,pressing_active,4.532822491,d01,
h56.1,9/1/24,pressing_active,4.225670951,d01,
h56.1,9/1/24,pressing_passive,4.068912214,d01,
h56.2,9/3/24,pressing_passive,4.005642032,d01,
h168.1,6/5/25,pressing_passive,3.816615701,d01,
h57.1,9/3/24,pressing_passive,3.722955172,d01,
h57.2,9/1/24,pressing_passive,3.650772898,d01,
h165.3,18-Feb,pressing_passive,3.547035663,d01,
h57.2,9/1/24,pressing_active,3.481328475,d01,
h61.3,11/26/24,pressing_passive,3.453073235,d01,
h61.2,11/26/24,pressing_active,2.957192666,d01,
h165.3,18-Feb,pressing_active,2.859507864,d01,
h165.1,18-Feb,pressing_passive,2.403595779,d01,
h57.1,9/3/24,pressing_active,2.201027146,d01,
h61.2,11/26/24,pressing_passive,1.893855347,d01,
h165.1,18-Feb,pressing_active,1.87862726,d01,
h165.4,18-Feb,pressing_active,1.506024096,d01,
h165.2,18-Feb,pressing_passive,1.494867621,d01,
h165.4,18-Feb,pressing_passive,1.322635789,d01,
h61.1,11/26/24,pressing_active,1.197364596,d01,
h61.1,11/26/24,pressing_passive,1.15093261,d01,
h165.2,18-Feb,pressing_active,0.895763041,d01,
h168.3,6/6/25,pressing_active,8.782201405,d02,
h61.3,11/27/24,pressing_active,8.121497604,d02,
h57.1,9/4/24,pressing_passive,7.597967962,d02,
h168.2,6/6/25,pressing_active,7.18823743,d02,
h61.4,11/27/24,pressing_active,6.831237385,d02,
h168.1,6/6/25,pressing_active,5.071356588,d02,
h61.4,11/27/24,pressing_passive,4.988812541,d02,
h57.1,9/4/24,pressing_active,4.910105394,d02,
h56.2,9/4/24,pressing_active,4.550379198,d02,
h168.1,6/6/25,pressing_passive,3.833865815,d02,
h56.2,9/4/24,pressing_passive,3.435621922,d02,
h168.2,6/6/25,pressing_passive,3.429159284,d02,
h61.3,11/27/24,pressing_passive,3.392261232,d02,
h168.3,6/6/25,pressing_passive,3.108196721,d02,
h165.1,19-Feb,pressing_active,2.961464842,d02,
h165.3,19-Feb,pressing_passive,2.364681123,d02,
h165.3,19-Feb,pressing_active,2.238977972,d02,
h165.2,19-Feb,pressing_passive,2.22997177,d02,
h61.1,11/27/24,pressing_passive,2.172379131,d02,
h165.1,19-Feb,pressing_passive,1.894697927,d02,
h165.4,19-Feb,pressing_active,1.886874295,d02,
h61.2,11/27/24,pressing_active,1.617141836,d02,
h61.1,11/27/24,pressing_active,1.609310722,d02,
h165.2,19-Feb,pressing_active,1.309213329,d02,
h61.2,11/27/24,pressing_passive,0.87043528,d02,
h165.4,19-Feb,pressing_passive,0.473449453,d02,
h57.2,9/2/24,pressing_passive,0.032869688,d02,
h56.1,9/2/24,pressing_active,0,d02,
h56.1,9/2/24,pressing_passive,0,d02,
h57.2,9/2/24,pressing_active,0,d02,
h168.3,6/7/25,pressing_active,15.21849409,d03,
h168.2,6/7/25,pressing_active,12.17532468,d03,
h168.1,6/7/25,pressing_active,7.745804356,d03,
h56.2,9/5/24,pressing_active,7.530030479,d03,
h168.1,6/7/25,pressing_passive,6.611464968,d03,
h61.3,11/29/24,pressing_active,5.022527513,d03,
h165.3,20-Feb,pressing_passive,4.422355543,d03,
h168.3,6/7/25,pressing_passive,3.9,d03,
h57.1,9/5/24,pressing_passive,3.833989857,d03,
h165.1,20-Feb,pressing_active,3.759342413,d03,
h57.1,9/5/24,pressing_active,3.327734288,d03,
h61.3,11/29/24,pressing_passive,3.092783505,d03,
h165.1,20-Feb,pressing_passive,2.751460091,d03,
h61.4,11/29/24,pressing_passive,2.698412698,d03,
h165.3,20-Feb,pressing_active,2.626477394,d03,
