Subject,Date,Time,Day,IRT_light_active,IRT_light_passive,source_file
h166.1,3/14/25,13:05:30,1,33.11,33.22,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/15/25,17:20:40,2,15.93,23.01,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/16/25,17:36:54,3,22.71,14.3,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/17/25,12:03:09,4,33.13,26.5,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/18/25,12:30:00,5,38.92,20.6,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/19/25,10:33:17,6,18.86,41.49,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/20/25,9:57:11,7,22.42,33.79,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/21/25,13:28:22,8,13.53,9.21,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/22/25,13:40:16,9,19.65,20.62,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/23/25,15:53:53,10,10.38,8.65,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/24/25,13:16:43,11,29.19,16.44,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/25/25,16:05:49,12,10.12,14.77,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/26/25,16:03:07,13,23.38,22.54,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/27/25,15:25:26,14,16.38,19.22,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/28/25,15:55:05,15,14.15,32.58,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/28/25,17:07:02,15,23.15,14.2,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/29/25,12:15:56,16,11.62,22.41,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/30/25,13:44:40,17,7.95,7.54,irt_h166_light1_reward_light2_no_longer.xls
h166.1,3/31/25,12:27:26,18,15.27,12.42,irt_h166_light1_reward_light2_no_longer.xls
h166.1,4/1/25,16:17:43,19,7.12,8.9,irt_h166_light1_reward_light2_no_longer.xls
h166.1,4/2/25,17:15:31,20,6.24,5.38,irt_h166_light1_reward_light2_no_longer.xls
h166.1,4/10/25,15:43:27,21,7.63,11.72,irt_h166_light1_reward_light2_no_longer.xls
h166.2,3/23/25,16:22:27,1,17.6,39.64,irt_h166_light1_reward_light2_no_longer.xls
h166.2,3/24/25,13:16:43,2,31.34,23.28,irt_h166_light1_reward_light2_no_longer.xls
h166.2,3/25/25,16:26:03,3,19.74,12,irt_h166_light1_reward_light2_no_longer.xls
h166.2,3/26/25,16:03:07,4,16.4,21.67,irt_h166_light1_reward_light2_no_longer.xls
h166.2,3/27/25,15:25:26,5,25.9,22.52,irt_h166_light1_reward_light2_no_longer.xls
h166.2,3/28/25,16:16:45,6,31.28,25.41,irt_h166_light1_reward_light2_no_longer.xls
h166.2,3/29/25,12:15:56,7,24.37,22.28,irt_h166_light1_reward_light2_no_longer.xls
h166.2,3/30/25,13:22:37,8,20.46,36.7,irt_h166_light1_reward_light2_no_longer.xls
h166.2,4/7/25,16:43:48,9,4.72,11.58,irt_h166_light1_reward_light2_no_longer.xls
h166.2,4/14/25,11:56:35,10,21.17,48.4,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/14/25,13:30:26,1,21.25,27.3,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/15/25,17:20:40,2,27.59,29.75,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/16/25,17:36:54,3,15.45,25.96,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/17/25,12:03:09,4,37.67,30.41,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/18/25,12:30:00,5,32.14,23.96,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/19/25,10:33:17,6,26.14,25.06,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/28/25,16:41:06,7,15.53,15.55,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/29/25,12:15:56,8,7.93,13.78,irt_h166_light1_reward_light2_no_longer.xls
h166.3,3/30/25,12:58:02,9,16.7,21.63,irt_h166_light1_reward_light2_no_longer.xls
h176.3,8/22/25,10:52:50,1,10.97,33.69,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/22/25,11:43:59,1,6.74,21.93,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/23/25,15:21:40,2,14.96,26.87,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/24/25,11:16:15,3,28.45,18.45,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/25/25,13:46:15,4,8.11,15.09,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/26/25,11:18:31,5,5.37,19.18,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/27/25,10:56:50,6,5.44,24.81,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/28/25,11:27:43,7,6.57,22.81,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/29/25,10:56:38,8,4.88,24.46,h54_h170_irt_light1_reward_light2_no_longer.xls
h176.3,8/30/25,11:44:59,9,4.13,17.92,h54_h170_irt_light1_reward_light2_no_longer.xls
