animal,cohort,group,sex,virus
h171.1,cohort1,pit_GI,female,GI
h171.2,cohort1,pit_GI,female,GI
h171.3,cohort1,pit_GFP,female,GFP
h171.4,cohort1,pit_GFP,female,GFP
h172.1,cohort2,pit_GI,female,GI
h172.2,cohort2,cont_GFP,female,GFP
h172.3,cohort2,pit_GFP,female,GFP
h173.1,cohort2,pit_GI,female,GI
h173.2,cohort2,cont_GFP,female,GFP
h173.3,cohort2,pit_GFP,female,GFP
h179.1,cohort3,pit_GFP,female,GFP
h179.2,cohort3,pit_GFP,female,GFP
h179.3,cohort3,pit_GFP,female,GFP
h179.4,cohort3,GI,female,GI
h179.5,cohort3,GI,female,GI
h180.1,cohort3,pit_GFP,female,GFP
h180.2,cohort3,GI,female,GI
h180.3,cohort3,GI,female,GI
h184.1,cohort4,GI,female,GI
h184.2,cohort4,pit_GFP,female,GFP
h184.3,cohort4,pit_GFP,female,GFP
h185.1,cohort4,GI,female,GI
h185.2,cohort4,GI,female,GI
h185.3,cohort4,pit_GFP,female,GFP
h169.1,cohort1,pit_GI,male,GI
h169.2,cohort1,pit_GI,male,GI
h169.3,cohort1,pit_GFP,male,GFP
h169.4,cohort1,pit_GFP,male,GFP
h170.1,cohort1,pit_GI,male,GI
h170.2,cohort1,pit_GI,male,GI
h170.3,cohort1,pit_GI,male,GI
h170.4,cohort1,pit_GFP,male,GFP
h170.5,cohort1,pit_GFP,male,GFP
h174.1,cohort2,pit_GI,male,GI
h174.2,cohort2,pit_GFP,male,GFP
h174.3,cohort2,pit_GFP,male,GFP
h174.4,cohort2,cont_GFP,male,GFP
h175.1,cohort2,pit_GI,male,GI
h175.2,cohort2,pit_GI,male,GI
h175.3,cohort2,pit_GFP,male,GFP
h175.4,cohort2,cont_GFP,male,GFP
h175.5,cohort2,cont_GFP,male,GFP
h182.1,cohort4,GI,male,GI
h182.2,cohort4,GI,male,GI
h182.3,cohort4,pit_GFP,male,GFP
h182.4,cohort4,pit_GFP,male,GFP
h183.1,cohort4,GI,male,GI
h183.2,cohort4,pit_GFP,male,GFP
h186.1,cohort4,GI,male,GI
h186.2,cohort4,GI,male,GI
h186.3,cohort4,pit_GFP,male,GFP
h188.1,,,male,GI
h188.2,,,male,GI
h189.1,,,female,GI
h189.2,,,female,GI
h189.3,,,female,GI
h189.4,,,female,GI
h189.5,,,female,GI
