animal,sex,freq,Date,day,stim,Clock time,time,lev_press,pellets,light1,light2,rate_light1,rate_light2
h56.1,fem,20hz,9/29/24,d1,light_stim,15:50:13,2359.6,356,14,,,,
h56.1,fem,20hz,10/1/24,d2,random_stim,12:10:47,3602.37,277,12,,,,
h56.1,fem,20hz,10/2/24,d3,no_stim,10:32:07,1799.83,186,,,,,
h56.2,fem,20hz,9/29/24,d1,random_stim,12:58:27,1415.91,102,9,,,,
h56.2,fem,20hz,10/1/24,d2,light_stim,13:21:57,2229.16,84,8,,,,
h56.2,fem,20hz,10/2/24,d3,no_stim,11:06:03,993.58,22,,,,,
h57.1,fem,20hz,9/29/24,d1,random_stim,13:56:02,1750.14,161,10,,,,
h57.1,fem,20hz,10/1/24,d2,light_stim,14:12:42,3683.55,335,13,,,,
h57.1,fem,20hz,10/2/24,d3,no_stim,11:26:22,3602.5,282,,,,,
h57.2,fem,20hz,9/29/24,d1,light_stim,14:45:44,3346.47,268,12,,,,
h57.2,fem,20hz,10/1/24,d2,random_stim,15:21:17,1467.88,73,8,,,,
h57.2,fem,20hz,10/2/24,d3,no_stim,12:33:06,613.68,12,,,,,
h61.1,fem,30hz,12/10/24,d1,random_stim,13:28:15,,652,16,50,40,13.04,16.3
h61.1,fem,30hz,12/11/24,d2,light_stim,10:29:43,,628,16,47,44,13.36170213,14.27272727
h61.1,fem,30hz,12/12/24,d3,no_stim,11:06:08,,586,15,34,57,17.23529412,10.28070175
h61.2,fem,30hz,12/10/24,d1,light_stim,14:38:31,,247,12,51,40,4.843137255,6.175
h61.2,fem,30hz,12/11/24,d2,random_stim,11:39:39,,47,6,14,26,3.357142857,1.807692308
h61.2,fem,30hz,12/12/24,d3,no_stim,12:10:16,,100,9,39,51,2.564102564,1.960784314
h61.3,male,30hz,12/10/24,d1,light_stim,15:44:50,,469,15,35,56,13.4,8.375
h61.3,male,30hz,12/11/24,d2,random_stim,12:11:47,,341,13,45,46,7.577777778,7.413043478
h61.3,male,30hz,12/12/24,d3,no_stim,13:13:16,,346,13,36,55,9.611111111,6.290909091
h61.3_2,male,30hz,12/21/24,d1,random_stim,,,272,,,,,
h61.3_2,male,30hz,12/22/24,d2,light_stim,,,285,,,,,
h61.3_2,male,30hz,12/23/24,d3,no_stim,,,303,,,,,
h61.4,male,30hz,12/10/24,d1,random_stim,16:51:45,,483,15,41,49,11.7804878,9.857142857
h61.4,male,30hz,12/11/24,d2,light_stim,13:19:08,,656,16,56,35,11.71428571,18.74285714
h61.4,male,30hz,12/12/24,d3,no_stim,14:19:44,,896,18,38,53,23.57894737,16.90566038
h61.4_2,male,30hz,12/21/24,d1,light_stim,,,465,,,,,
