animal,Date,day,Clock time,Experiment file,"Total time
Lev1 Out",rewards
S5.1,3/31/2025,d01,13:37:40,stress_cohort.exp,1982.52,6
S5.1,4/1/2025,d02,10:50:47,stress_cohort.exp,2082.03,4
S5.1,4/2/2025,d03,14:29:08,stress_cohort.exp,2333.68,3
S5.1,4/3/2025,d04,10:37:50,stress_cohort.exp,2368.14,2
S5.1,4/4/2025,d05,12:08:41,stress_cohort.exp,2334.68,9
S5.1,4/5/2025,d06,13:45:04,stress_cohort.exp,1204.88,16
S5.1,4/7/2025,d07,11:44:46,stress_cohort.exp,1693.60,40
S5.1,4/8/2025,d08,10:32:40,stress_cohort.exp,1650.66,38
S5.1,4/9/2025,d09,14:09:45,stress_cohort.exp,1346.86,40
S5.1,4/10/2025,d10,14:55:53,stress_cohort.exp,1450.82,29
S5.1,4/11/2025,d11,14:34:24,stress_cohort.exp,1449.35,35
S5.1,4/12/2025,d12,16:31:09,stress_cohort.exp,1492.47,40
S5.1,4/13/2025,d13,13:42:43,stress_cohort.exp,1772.51,40
S5.1,4/14/2025,d14,14:40:18,stress_cohort.exp,1649.19,32
S5.2,3/31/2025,d01,13:37:40,stress_cohort.exp,2354.90,2
S5.2,4/1/2025,d02,10:50:47,stress_cohort.exp,2388.79,1
S5.2,4/2/2025,d03,14:29:08,stress_cohort.exp,2320.75,2
S5.2,4/3/2025,d04,10:37:50,stress_cohort.exp,2399.98,0
S5.2,4/4/2025,d05,12:08:41,stress_cohort.exp,2326.59,1
S5.2,4/5/2025,d06,13:45:04,stress_cohort.exp,1251.07,1
S5.2,4/7/2025,d07,11:44:46,stress_cohort.exp,2005.44,0
S5.2,4/8/2025,d08,10:32:40,stress_cohort.exp,2322.60,39
S5.2,4/9/2025,d09,14:09:45,stress_cohort.exp,1931.21,39
S5.2,4/10/2025,d10,14:55:53,stress_cohort.exp,1872.96,28
S5.2,4/11/2025,d11,14:34:24,stress_cohort.exp,2363.72,33
S5.2,4/12/2025,d12,16:31:09,stress_cohort.exp,1420.55,40
S5.2,4/13/2025,d13,13:42:43,stress_cohort.exp,2205.52,40
S5.2,4/14/2025,d14,14:40:18,stress_cohort.exp,2283.41,40
S5.3,3/31/2025,d01,13:37:40,stress_cohort.exp,2188.59,4
S5.3,4/1/2025,d02,10:50:47,stress_cohort.exp,2399.98,0
S5.3,4/2/2025,d03,14:29:08,stress_cohort.exp,2317.14,3
S5.3,4/3/2025,d04,10:37:50,stress_cohort.exp,2368.69,3
S5.3,4/4/2025,d05,12:08:41,stress_cohort.exp,2219.61,24
S5.3,4/5/2025,d06,13:45:04,stress_cohort.exp,1107.98,19
S5.3,4/7/2025,d07,11:44:46,stress_cohort.exp,1194.58,34
S5.3,4/8/2025,d08,10:32:40,stress_cohort.exp,1786.08,39
S5.3,4/9/2025,d09,14:09:45,stress_cohort.exp,1168.97,40
S5.3,4/10/2025,d10,14:55:53,stress_cohort.exp,1758.40,25
S5.3,4/11/2025,d11,14:34:24,stress_cohort.exp,2103.22,32
S5.3,4/12/2025,d12,16:31:09,stress_cohort.exp,1473.24,36
S5.3,4/13/2025,d13,13:42:43,stress_cohort.exp,1846.92,35
S5.3,4/14/2025,d14,14:40:18,stress_cohort.exp,1657.62,36
S5.4,3/31/2025,d01,13:37:40,stress_cohort.exp,2142.52,5
S5.4,4/1/2025,d02,10:50:47,stress_cohort.exp,2300.52,3
S5.4,4/2/2025,d03,14:29:08,stress_cohort.exp,2293.72,22
S5.4,4/3/2025,d04,10:37:50,stress_cohort.exp,2053.89,23
S5.4,4/4/2025,d05,12:08:41,stress_cohort.exp,1233.44,40
S5.4,4/5/2025,d06,13:45:04,stress_cohort.exp,792.03,19
S5.4,4/7/2025,d07,11:44:46,stress_cohort.exp,1038.79,40
S5.4,4/8/2025,d08,10:32:40,stress_cohort.exp,1020.48,40
S5.4,4/9/2025,d09,14:09:45,stress_cohort.exp,1201.02,40
S5.4,4/10/2025,d10,14:55:53,stress_cohort.exp,1476.88,34
S5.4,4/11/2025,d11,14:34:24,stress_cohort.exp,1160.84,41
S5.4,4/12/2025,d12,16:31:09,stress_cohort.exp,1055.71,39
S5.4,4/13/2025,d13,13:42:43,stress_cohort.exp,1620.41,40
S5.4,4/14/2025,d14,14:40:18,stress_cohort.exp,1714.87,40
S6.1,3/31/2025,d01,13:37:40,stress_cohort.exp,1697.86,8
S6.1,4/1/2025,d02,10:50:47,stress_cohort.exp,2109.19,3
S6.1,4/2/2025,d03,14:29:08,stress_cohort.exp,2299.03,2
S6.1,4/3/2025,d04,10:37:50,stress_cohort.exp,2159.57,14
